[2021-08-22 10:57:14,298] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2021-08-22 11:01:47,013] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2021-08-22 11:03:38,360] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2021-08-22 11:05:19,104] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2021-08-22 11:06:25,791] INFO django.server: "GET / HTTP/1.1" 301 0
[2021-08-22 11:11:40,463] INFO django.server: "GET / HTTP/1.1" 301 0
[2021-08-24 06:52:07,051] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2021-08-24 06:52:32,510] INFO django.server: "GET /admin HTTP/1.1" 301 0
[2021-08-24 06:52:32,588] INFO django.server: "GET /admin/ HTTP/1.1" 302 0
[2021-08-24 06:52:32,720] INFO django.server: "GET /admin/login/?next=/admin/ HTTP/1.1" 200 2194
[2021-08-24 06:52:32,845] INFO django.server: "GET /static/admin/css/base.css HTTP/1.1" 200 16307
[2021-08-24 06:52:32,846] INFO django.server: "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2138
[2021-08-24 06:52:32,847] INFO django.server: "GET /static/admin/css/login.css HTTP/1.1" 200 1185
[2021-08-24 06:52:32,848] INFO django.server: "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 1360
[2021-08-24 06:52:32,850] INFO django.server: "GET /static/admin/css/responsive.css HTTP/1.1" 200 18344
[2021-08-24 06:52:32,887] INFO django.server: "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
[2021-08-24 06:52:32,910] INFO django.server: "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
[2021-08-24 06:52:32,912] INFO django.server: "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
[2021-08-26 12:29:33,174] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2021-08-28 19:30:40,372] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2021-08-28 19:31:00,210] INFO django.server: "GET / HTTP/1.1" 301 0
[2021-08-28 19:31:09,628] INFO django.server: "GET /admin HTTP/1.1" 301 0
[2021-08-28 19:31:09,696] INFO django.server: "GET /admin/ HTTP/1.1" 302 0
[2021-08-28 19:31:09,813] INFO django.server: "GET /admin/login/?next=/admin/ HTTP/1.1" 200 2194
[2021-08-28 19:31:09,885] INFO django.server: "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2138
[2021-08-28 19:31:09,887] INFO django.server: "GET /static/admin/css/login.css HTTP/1.1" 200 1185
[2021-08-28 19:31:09,887] INFO django.server: "GET /static/admin/css/base.css HTTP/1.1" 200 16307
[2021-08-28 19:31:09,887] INFO django.server: "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 1360
[2021-08-28 19:31:09,888] INFO django.server: "GET /static/admin/css/responsive.css HTTP/1.1" 200 18344
[2021-08-28 19:31:09,919] INFO django.server: "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
[2021-08-28 19:31:10,035] INFO django.server: "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
[2021-08-28 19:31:10,037] INFO django.server: "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
[2021-08-28 19:31:10,050] WARNING django.request: Not Found: /favicon.ico
[2021-08-28 19:31:10,051] WARNING django.server: "GET /favicon.ico HTTP/1.1" 404 3481
[2021-08-28 19:31:19,778] INFO django.server: "POST /admin/login/?next=/admin/ HTTP/1.1" 200 2353
[2021-08-28 19:31:19,889] INFO django.server: "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
[2021-08-28 19:31:24,127] INFO django.server: "POST /admin/login/?next=/admin/ HTTP/1.1" 200 2353
[2021-08-28 19:32:28,607] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2021-08-28 19:33:08,529] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2021-08-28 19:33:27,708] INFO django.server: "GET / HTTP/1.1" 301 0
[2021-08-28 19:33:35,681] INFO django.server: "GET /admin HTTP/1.1" 301 0
[2021-08-28 19:33:35,737] INFO django.server: "GET /admin/ HTTP/1.1" 302 0
[2021-08-28 19:33:35,870] INFO django.server: "GET /admin/login/?next=/admin/ HTTP/1.1" 200 2194
[2021-08-28 19:33:35,942] INFO django.server: "GET /static/admin/css/login.css HTTP/1.1" 200 1185
[2021-08-28 19:33:35,944] INFO django.server: "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2138
[2021-08-28 19:33:35,944] INFO django.server: "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 1360
[2021-08-28 19:33:35,945] INFO django.server: "GET /static/admin/css/base.css HTTP/1.1" 200 16307
[2021-08-28 19:33:35,946] INFO django.server: "GET /static/admin/css/responsive.css HTTP/1.1" 200 18344
[2021-08-28 19:33:35,974] INFO django.server: "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
[2021-08-28 19:33:36,024] INFO django.server: "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
[2021-08-28 19:33:36,024] INFO django.server: "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
[2021-08-28 19:33:36,037] WARNING django.request: Not Found: /favicon.ico
[2021-08-28 19:33:36,051] WARNING django.server: "GET /favicon.ico HTTP/1.1" 404 3481
[2021-08-28 19:33:41,197] INFO django.server: "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[2021-08-28 19:33:41,234] INFO django.server: "GET /admin/ HTTP/1.1" 200 8758
[2021-08-28 19:33:41,283] INFO django.server: "GET /static/admin/css/dashboard.css HTTP/1.1" 200 380
[2021-08-28 19:33:41,284] INFO django.server: "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[2021-08-28 19:33:41,284] INFO django.server: "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[2021-08-28 19:33:41,289] INFO django.server: "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
[2021-08-28 19:33:45,167] INFO django.server: "GET /admin/auth/user/ HTTP/1.1" 200 12078
[2021-08-28 19:33:45,240] INFO django.server: "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
[2021-08-28 19:33:45,242] INFO django.server: "GET /static/admin/css/changelists.css HTTP/1.1" 200 6302
[2021-08-28 19:33:45,246] INFO django.server: "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 6078
[2021-08-28 19:33:45,246] INFO django.server: "GET /static/admin/js/core.js HTTP/1.1" 200 5418
[2021-08-28 19:33:45,249] INFO django.server: "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 287630
[2021-08-28 19:33:45,268] INFO django.server: "GET /static/admin/js/actions.js HTTP/1.1" 200 6783
[2021-08-28 19:33:45,269] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3187
[2021-08-28 19:33:45,272] INFO django.server: "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
[2021-08-28 19:33:45,272] INFO django.server: "GET /static/admin/js/urlify.js HTTP/1.1" 200 8632
[2021-08-28 19:33:45,286] INFO django.server: "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 232381
[2021-08-28 19:33:45,330] INFO django.server: "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
[2021-08-28 19:33:45,330] INFO django.server: "GET /static/admin/img/search.svg HTTP/1.1" 200 458
[2021-08-28 19:33:45,344] INFO django.server: "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
[2021-08-28 19:33:45,344] INFO django.server: "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
[2021-08-28 19:33:47,230] INFO django.server: "GET /admin/auth/user/1/change/ HTTP/1.1" 200 16466
[2021-08-28 19:33:47,296] INFO django.server: "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4257
[2021-08-28 19:33:47,297] INFO django.server: "GET /static/admin/css/forms.css HTTP/1.1" 200 8423
[2021-08-28 19:33:47,300] INFO django.server: "GET /static/admin/js/calendar.js HTTP/1.1" 200 7788
[2021-08-28 19:33:47,301] INFO django.server: "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 12350
[2021-08-28 19:33:47,301] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3187
[2021-08-28 19:33:47,304] INFO django.server: "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19750
[2021-08-28 19:33:47,317] INFO django.server: "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 492
[2021-08-28 19:33:47,317] INFO django.server: "GET /static/admin/css/widgets.css HTTP/1.1" 200 10592
[2021-08-28 19:33:47,329] INFO django.server: "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
[2021-08-28 19:33:47,410] INFO django.server: "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 655
[2021-08-28 19:33:47,410] INFO django.server: "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
[2021-08-28 19:33:47,414] INFO django.server: "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
